门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),本月销售额,销售环比(%),进店率(%),成交转化率(%),租售比(%),欠费总额(元),欠费天数,保证金覆盖率(%),水电费波动(%),近90天投诉数,退款申请数,续费率(%),安全巡检分,家长投诉率(‰),风险得分,风险等级
SHOP_001,青禾服饰,精品零售,F2,转化恶化,155,188017,-32.0,7.0,5.8,36.0,12000,32,27.4,-12.0,6,0,,,,61,高
SHOP_002,织境饰品,精品零售,F1,欠费承压,133,339634,-15.4,6.9,11.3,34.3,54562,42,82.3,-0.8,8,0,,,,49,中
SHOP_003,简集服饰,精品零售,F3,短期波动,202,211823,-4.9,11.8,25.8,15.1,0,0,126.7,0.2,2,0,,,,0,低
SHOP_004,光屿服饰,精品零售,F3,持续下滑,207,395899,-25.7,5.8,7.2,30.7,17035,0,157.6,-10.1,5,0,,,,46,中
SHOP_005,光屿生活馆,精品零售,F3,健康,150,295651,5.8,21.4,19.7,10.8,0,0,147.4,-2.9,0,0,,,,0,低
SHOP_006,简集集合店,精品零售,F1,健康,147,475749,7.9,17.0,32.0,12.3,0,0,81.2,1.5,2,0,,,,2,低
SHOP_007,云上集合店,精品零售,F2,健康,174,290145,0.8,9.6,17.4,16.3,0,0,131.9,1.9,1,0,,,,0,低
SHOP_008,青禾生活馆,精品零售,F3,健康,220,462485,0.3,10.5,27.9,15.0,0,0,104.8,-0.4,3,0,,,,0,低
SHOP_009,织境服饰,精品零售,F1,健康,128,333336,6.4,12.5,31.4,18.9,0,0,81.1,-4.9,3,0,,,,6,低
SHOP_010,织境服饰5,精品零售,F3,区域性下滑,249,470912,-16.4,6.1,21.6,22.7,0,0,143.7,0.9,1,0,,,,12,低
SHOP_011,织境生活馆,精品零售,F1,转化恶化,229,444570,-14.0,16.1,5.1,29.0,0,0,95.6,3.0,7,0,,,,24,低
SHOP_012,银树生活馆,精品零售,F3,健康,136,391598,6.0,18.4,25.6,20.7,0,0,145.6,5.1,0,0,,,,4,低
SHOP_013,木间服饰,精品零售,F2,健康,96,355759,-0.9,19.6,27.3,10.9,0,0,97.4,5.1,1,0,,,,0,低
SHOP_014,青禾服饰5,精品零售,F2,转化恶化,162,459370,-15.6,15.2,7.8,28.6,0,0,111.4,2.5,5,0,,,,24,低
SHOP_015,织境生活馆4,精品零售,F3,健康,92,647715,7.6,18.1,31.3,16.2,0,0,95.1,0.7,2,0,,,,0,低
SHOP_016,银树集合店,精品零售,F3,欠费承压,218,443863,-14.2,9.3,17.6,28.1,37596,25,86.0,-14.6,4,0,,,,34,中
SHOP_017,青禾服饰7,精品零售,F2,健康,139,194085,6.5,21.6,14.8,17.6,0,0,95.5,-2.9,3,0,,,,0,低
SHOP_018,简集服饰5,精品零售,F3,健康,153,326212,3.4,15.9,20.7,13.1,0,0,138.7,0.2,3,0,,,,0,低
SHOP_019,悦活服饰,精品零售,F2,持续下滑,205,283723,-28.4,8.8,9.2,20.4,11892,22,151.8,-8.7,5,0,,,,37,中
SHOP_020,云上饰品,精品零售,F1,短期波动,209,290442,-9.9,13.2,22.3,23.9,0,0,118.7,-6.3,3,0,,,,4,低
SHOP_021,木间服饰9,精品零售,F3,健康,228,555177,-0.7,17.4,22.6,11.0,0,0,103.0,6.5,1,0,,,,0,低
SHOP_022,光屿服饰6,精品零售,F3,持续下滑,192,320347,-25.1,4.1,12.4,22.8,12358,4,158.1,-5.4,7,0,,,,43,中
SHOP_023,简集生活馆,精品零售,F3,短期波动,210,499622,-9.9,12.7,19.6,15.8,0,0,150.0,-5.7,5,0,,,,3,低
SHOP_024,简集集合店9,精品零售,F1,健康,202,170303,1.8,18.4,22.9,10.4,0,0,110.9,4.3,2,0,,,,0,低
SHOP_025,悦活集合店,精品零售,F2,短期波动,163,351115,-9.7,7.7,12.1,15.9,0,0,122.6,-5.5,5,0,,,,3,低
SHOP_026,青禾服饰2,精品零售,F1,健康,152,529011,-1.7,18.7,32.0,12.0,0,0,140.8,-3.3,3,0,,,,0,低
SHOP_027,织境集合店,精品零售,F2,短期波动,150,451904,-11.2,7.5,20.6,18.1,0,0,120.9,-8.5,5,0,,,,15,低
SHOP_028,织境服饰4,精品零售,F1,区域性下滑,105,533099,-11.9,9.7,17.7,24.8,0,0,101.0,0.7,6,0,,,,15,低
SHOP_029,简集服饰8,精品零售,F3,健康,103,202150,0.4,13.0,23.0,13.3,0,0,142.6,2.4,2,0,,,,0,低
SHOP_030,光屿服饰5,精品零售,F3,转化恶化,241,393002,-12.9,16.4,9.0,20.4,0,0,93.0,-1.5,7,0,,,,15,低
SHOP_031,熙面小馆,餐饮,F5,持续下滑,284,897923,-32.0,4.6,10.0,29.0,26000,32,143.3,-22.0,5,0,,,,61,高
SHOP_032,蘭亭小馆,餐饮,F4,转化恶化,216,915327,-8.2,13.6,8.6,29.1,0,0,88.2,7.8,2,0,,,,9,低
SHOP_033,蘭亭茶餐厅,餐饮,F5,健康,496,1272023,2.6,15.5,21.0,12.7,0,0,150.3,-1.2,1,0,,,,0,低
SHOP_034,米仓茶餐厅,餐饮,F5,健康,345,774070,-2.5,19.2,15.1,10.5,0,0,113.8,7.3,1,0,,,,0,低
SHOP_035,熙面茶餐厅,餐饮,F3,健康,520,625763,3.9,20.8,29.6,14.3,0,0,145.1,7.3,2,0,,,,0,低
SHOP_036,米仓茶餐厅7,餐饮,F4,持续下滑,239,965869,-22.9,8.8,12.4,25.2,8717,21,139.1,-13.0,6,0,,,,32,中
SHOP_037,川味观烤肉,餐饮,F5,健康,397,479048,5.7,19.1,16.3,14.5,0,0,123.4,-3.1,0,0,,,,0,低
SHOP_038,熙面茶餐厅7,餐饮,F5,健康,474,658749,2.8,14.6,29.3,12.3,0,0,153.9,7.9,0,0,,,,0,低
SHOP_039,熙面烤肉,餐饮,F4,健康,326,1036000,3.3,13.3,33.3,17.9,0,0,148.9,7.5,0,0,,,,0,低
SHOP_040,蘭亭小馆4,餐饮,F4,健康,218,787717,-1.9,21.9,23.2,19.4,0,0,138.2,7.0,0,0,,,,4,低
SHOP_041,小满茶餐厅,餐饮,F5,短期波动,298,618627,-11.9,10.7,22.1,23.0,0,0,110.1,-9.0,4,0,,,,15,低
SHOP_042,米仓火锅,餐饮,F4,短期波动,496,275757,-8.4,12.5,26.0,17.1,0,0,113.3,0.8,1,0,,,,0,低
SHOP_043,米仓烤肉,餐饮,F5,健康,482,884316,4.8,12.2,25.6,11.9,0,0,92.7,0.4,3,0,,,,0,低
SHOP_044,茗点茶餐厅,餐饮,F3,健康,151,1140413,7.8,21.9,20.5,18.8,0,0,91.4,-1.0,2,0,,,,4,低
SHOP_045,米仓小馆,餐饮,F5,健康,251,596108,-2.4,19.4,16.8,13.4,0,0,155.8,-0.9,2,0,,,,0,低
SHOP_046,川味观火锅,餐饮,F5,健康,238,798688,7.9,10.7,24.6,19.9,0,0,108.9,0.6,2,0,,,,4,低
SHOP_047,小满茶餐厅7,餐饮,F5,短期波动,341,411345,-10.6,13.0,16.0,21.2,0,0,154.7,-7.6,1,0,,,,12,低
SHOP_048,米仓小馆5,餐饮,F4,持续下滑,323,559308,-16.5,9.5,9.5,27.7,12960,14,108.0,-16.1,5,0,,,,32,中
SHOP_049,炙火小馆,餐饮,F4,欠费承压,269,568007,-13.9,5.1,12.0,28.7,53631,47,43.7,-17.1,6,0,,,,48,中
SHOP_050,川味观火锅5,餐饮,F4,健康,195,1300631,1.8,20.7,28.6,17.4,0,0,143.2,-2.6,2,0,,,,0,低
SHOP_051,蘭亭火锅,餐饮,F5,区域性下滑,123,1111312,-12.0,9.1,15.0,17.5,0,0,112.2,-13.7,1,0,,,,8,低
SHOP_052,蘭亭火锅2,餐饮,F4,健康,359,974664,0.4,12.8,23.1,14.1,0,0,134.3,3.7,3,0,,,,0,低
SHOP_053,炙火茶餐厅,餐饮,F4,欠费承压,258,459466,-11.6,11.2,14.1,34.3,52028,42,73.3,-17.2,8,0,,,,49,中
SHOP_054,熙面小馆4,餐饮,F3,短期波动,475,965607,-9.2,10.1,18.2,15.3,0,0,125.5,-0.0,5,0,,,,3,低
SHOP_055,小满小馆,餐饮,F4,转化恶化,265,744967,-13.6,11.6,8.5,21.9,0,0,117.2,-0.9,7,0,,,,15,低
SHOP_056,蘭亭火锅9,餐饮,F5,疑似撤店,392,406297,-30.5,6.7,11.4,37.1,35082,58,32.1,-44.6,10,0,,,,70,高
