门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),本月销售额,销售环比(%),进店率(%),成交转化率(%),租售比(%),欠费总额(元),欠费天数,保证金覆盖率(%),近3月平均销售,近6月平均销售,近3月销售环比均值,近6月最高欠费,近6月平均租售比,连续下滑月数,水电费波动(%),近90天投诉数,退款申请数,续费率(%),安全巡检分,家长投诉率(‰),风险得分,风险等级
SHOP_001,森屿女装,精品零售,F2,转化恶化,105,192252,-32.0,7.0,5.8,36.0,12000,32,27.4,178201.7,171248.0,4.7,12000,40.6,1,-12.0,6,0,,,,65,高
SHOP_002,MONO集物,精品零售,F2,欠费承压,183,475679,-15.4,6.9,11.3,34.3,54562,42,82.3,429418.0,410453.2,6.5,54562,40.0,1,-0.8,8,0,,,,50,中
SHOP_003,梵木生活,精品零售,F3,短期波动,106,524021,-4.9,11.8,25.8,15.1,0,0,126.7,507341.7,498979.5,0.4,2126,15.9,2,0.2,2,0,,,,0,低
SHOP_004,织造局,精品零售,F2,持续下滑,102,185243,-25.7,5.8,7.2,30.7,17035,0,157.6,156887.7,150685.0,9.3,17035,38.2,2,-10.1,5,0,,,,50,中
SHOP_005,NORM服饰,精品零售,F2,健康,123,463413,5.8,21.4,19.7,10.8,0,0,147.4,489708.0,474309.7,-2.4,2101,10.6,2,-2.9,0,0,,,,4,低
SHOP_006,小野饰品,精品零售,F1,健康,244,569502,7.9,17.0,32.0,12.3,0,0,81.2,599210.7,583164.2,-1.8,2166,12.0,1,1.5,2,0,,,,2,低
SHOP_007,半糖香氛,精品零售,F2,健康,120,494716,0.8,9.6,17.4,16.3,0,0,131.9,520001.0,507931.2,-2.6,2440,16.0,2,1.9,1,0,,,,4,低
SHOP_008,KIKI潮玩,精品零售,F2,健康,121,610216,0.3,10.5,27.9,15.0,0,0,104.8,635484.7,623363.8,-2.5,2425,14.7,2,-0.4,3,0,,,,4,低
SHOP_009,青禾眼镜,精品零售,F3,健康,207,566871,6.4,12.5,31.4,18.9,0,0,81.1,596821.3,582452.8,-2.6,1679,18.4,2,-4.9,3,0,,,,10,低
SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,487249,-16.4,6.1,21.6,22.7,0,0,143.7,440867.0,422227.5,5.5,1389,26.4,1,0.9,1,0,,,,12,低
SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,240261,-14.0,16.1,5.1,29.0,0,0,95.6,223127.3,215355.2,4.8,1661,32.5,1,3.0,7,0,,,,28,低
SHOP_012,LUMA家居,精品零售,F1,健康,122,195490,6.0,18.4,25.6,20.7,0,0,145.6,206279.3,199360.5,-1.3,2111,20.4,2,5.1,0,0,,,,8,低
SHOP_013,GLINT饰界,精品零售,F1,健康,227,412226,-0.9,19.6,27.3,10.9,0,0,97.4,429346.0,421384.3,-1.9,1687,10.7,2,5.1,1,0,,,,4,低
SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,280946,-15.6,15.2,7.8,28.6,0,0,111.4,260042.7,252357.7,3.5,787,32.0,1,2.5,5,0,,,,28,低
SHOP_015,岚裳集合,精品零售,F1,健康,241,567202,7.6,18.1,31.3,16.2,0,0,95.1,590513.7,576925.7,-2.4,2451,16.0,2,0.7,2,0,,,,4,低
SHOP_016,初见花艺,精品零售,F3,欠费承压,180,488085,-14.2,9.3,17.6,28.1,37596,25,86.0,436494.3,417229.0,6.2,37596,33.1,1,-14.6,4,0,,,,38,中
SHOP_017,一家好物,精品零售,F2,健康,223,655600,6.5,21.6,14.8,17.6,0,0,95.5,690019.0,673988.7,-2.6,2480,17.2,2,-2.9,3,0,,,,4,低
SHOP_018,未央皮具,精品零售,F3,健康,237,520670,3.4,15.9,20.7,13.1,0,0,138.7,551990.0,533459.7,-2.0,2136,12.9,2,0.2,3,0,,,,4,低
SHOP_019,松果文创,精品零售,F3,持续下滑,109,336461,-28.4,8.8,9.2,20.4,11892,22,151.8,286491.3,275424.5,8.2,11892,25.1,2,-8.7,5,0,,,,37,中
SHOP_020,星期八潮品,精品零售,F1,短期波动,148,214173,-9.9,13.2,22.3,23.9,0,0,118.7,209641.7,204559.2,1.4,2202,25.1,1,-6.3,3,0,,,,4,低
SHOP_021,ORIGIN男装,精品零售,F2,健康,229,200761,-0.7,17.4,22.6,11.0,0,0,103.0,212712.7,207801.2,-2.2,2070,10.6,2,6.5,1,0,,,,4,低
SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,203729,-25.1,4.1,12.4,22.8,12358,4,158.1,174495.0,168901.8,8.3,12358,27.8,1,-5.4,7,0,,,,43,中
SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,507422,-9.9,12.7,19.6,15.8,0,0,150.0,497802.3,482345.8,1.5,2234,16.7,1,-5.7,5,0,,,,3,低
SHOP_024,蓝盒数码,精品零售,F1,健康,253,382768,1.8,18.4,22.9,10.4,0,0,110.9,407563.0,397538.8,-2.6,1383,10.0,2,4.3,2,0,,,,4,低
SHOP_025,拾光礼品,精品零售,F1,短期波动,229,466734,-9.7,7.7,12.1,15.9,0,0,122.6,451793.7,443696.3,0.4,1546,16.8,2,-5.5,5,0,,,,3,低
SHOP_026,北街鞋履,精品零售,F1,健康,206,475649,-1.7,18.7,32.0,12.0,0,0,140.8,499030.0,487277.0,-2.4,2338,11.8,2,-3.3,3,0,,,,4,低
SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,534135,-11.2,7.5,20.6,18.1,0,0,120.9,527513.0,506981.3,1.7,2131,19.2,1,-8.5,5,0,,,,15,低
SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,276465,-11.9,9.7,17.7,24.8,0,0,101.0,248588.3,241129.2,4.8,1386,28.6,1,0.7,6,0,,,,15,低
SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,564706,0.4,13.0,23.0,13.3,0,0,142.6,596555.7,578325.2,-2.5,0,13.1,2,2.4,2,0,,,,4,低
SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,143108,-12.9,16.4,9.0,20.4,0,0,93.0,131450.3,127804.3,3.7,2240,23.0,1,-1.5,7,0,,,,15,低
SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,418291,-32.0,4.6,10.0,29.0,26000,32,143.3,355671.3,343585.8,8.1,26000,35.7,2,-22.0,5,0,,,,65,高
SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,325689,-8.2,13.6,8.6,29.1,0,0,88.2,298224.3,289462.3,3.8,1664,32.9,1,7.8,2,0,,,,13,低
