月份,门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),月销售额,销售环比(%),租售比(%),欠费总额(元),欠费天数,水电费波动(%),近90天投诉数,进店率(%),成交转化率(%),保证金覆盖率(%),销售同比(%)
2025-08,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,190290,0.0,36.4,0,0,-1.3,3,7.7,6.2,27.4,0.0
2025-09,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,193855,1.9,35.7,469,8,-6.9,3,7.7,6.2,27.1,0.0
2025-10,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,200095,3.2,34.6,0,0,2.3,3,7.8,6.2,27.4,0.0
2025-11,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,204885,2.4,33.8,0,0,-5.3,3,7.8,6.3,27.4,0.0
2025-12,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,212722,3.8,32.5,566,10,1.5,4,7.8,6.3,27.1,0.0
2026-01,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,163523,-23.1,42.3,0,1,2.3,4,7.5,6.1,27.4,0.0
2026-02,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,152370,-6.8,45.4,0,0,-5.1,5,7.4,6.0,27.4,0.0
2026-03,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,171317,12.4,40.4,1834,10,0.3,5,7.5,6.1,26.5,0.0
2026-04,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,169196,-1.2,40.9,1979,20,-2.1,5,7.5,6.1,26.4,0.0
2026-05,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,176232,4.2,39.3,1952,30,-2.1,6,7.6,6.1,26.4,0.0
2026-06,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,166121,-5.7,41.7,4076,35,-3.2,6,7.5,6.1,25.3,0.0
2026-07,SHOP_001,森屿女装,精品零售,F2,转化恶化,105,192252,15.7,36.0,12000,32,-12.0,6,7.7,6.2,21.4,0.0
2025-08,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,459766,0.0,35.5,0,0,2.1,4,7.6,12.0,82.3,0.0
2025-09,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,478907,4.2,34.1,3154,10,-1.0,5,7.6,12.1,80.7,0.0
2025-10,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,499353,4.3,32.7,7973,17,-1.9,4,7.7,12.2,78.3,0.0
2025-11,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,498712,-0.1,32.7,10574,24,-5.3,5,7.7,12.2,77.0,0.0
2025-12,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,521411,4.6,31.3,14535,34,-5.2,5,7.8,12.3,75.0,0.0
2026-01,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,400994,-23.1,40.7,16658,40,-11.4,6,7.4,11.8,74.0,0.0
2026-02,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,369420,-7.9,44.2,21571,46,-14.1,5,7.3,11.7,71.5,0.0
2026-03,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,401003,8.5,40.7,27950,52,-12.4,7,7.4,11.8,68.3,0.0
2026-04,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,404042,0.8,40.4,30639,61,-9.6,6,7.4,11.8,67.0,0.0
2026-05,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,428220,6.0,38.1,34351,69,-13.6,7,7.5,11.9,65.1,0.0
2026-06,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,384355,-10.2,42.4,39046,78,-15.0,8,7.4,11.8,62.8,0.0
2026-07,SHOP_002,MONO集物,精品零售,F2,欠费承压,183,475679,23.8,34.3,54562,42,-0.8,8,7.6,12.1,55.0,0.0
2025-08,SHOP_003,梵木生活,精品零售,F3,短期波动,106,509272,0.0,15.6,366,6,-4.8,2,12.9,27.5,126.6,0.0
2025-09,SHOP_003,梵木生活,精品零售,F3,短期波动,106,520563,2.2,15.2,0,0,-0.3,1,13.0,27.6,126.7,0.0
2025-10,SHOP_003,梵木生活,精品零售,F3,短期波动,106,563654,8.3,14.1,1771,5,-4.0,1,13.2,27.9,125.9,0.0
2025-11,SHOP_003,梵木生活,精品零售,F3,短期波动,106,577073,2.4,13.7,0,0,-5.1,1,13.2,28.0,126.7,0.0
2025-12,SHOP_003,梵木生活,精品零售,F3,短期波动,106,594610,3.0,13.3,0,0,5.9,1,13.3,28.1,126.7,0.0
2026-01,SHOP_003,梵木生活,精品零售,F3,短期波动,106,469450,-21.0,16.9,0,0,-2.0,1,12.8,27.2,126.7,0.0
2026-02,SHOP_003,梵木生活,精品零售,F3,短期波动,106,448055,-4.6,17.7,0,0,-6.2,2,12.7,27.0,126.7,0.0
2026-03,SHOP_003,梵木生活,精品零售,F3,短期波动,106,504401,12.6,15.7,0,0,-4.7,2,12.9,27.4,126.7,0.0
2026-04,SHOP_003,梵木生活,精品零售,F3,短期波动,106,519396,3.0,15.3,0,0,1.2,1,13.0,27.6,126.7,0.0
2026-05,SHOP_003,梵木生活,精品零售,F3,短期波动,106,510128,-1.8,15.6,0,0,-3.0,1,12.9,27.5,126.7,0.0
2026-06,SHOP_003,梵木生活,精品零售,F3,短期波动,106,487876,-4.4,16.3,2126,10,-0.5,3,12.8,27.3,125.7,0.0
2026-07,SHOP_003,梵木生活,精品零售,F3,短期波动,106,524021,7.4,15.1,0,0,0.2,2,13.0,27.6,126.7,0.0
